entity_id	preferred_label	variant	variant_norm	notes
ent_place_351e95ca9299	Ἰνδικὴ	Ἰνδικὴ	ινδικη	
ent_place_761ac52a04c8	Συριακῆς	Συριακῆς	συριακης	
