entity_id	preferred_label	variant	variant_norm	notes
ent_process_a73fb6f3e824	θερμαίνει	θερμαίνει	θερμαινει	
ent_process_ef4abee8ae98	Πειραθῆναι	Πειραθῆναι	πειραθηναι	
ent_process_f2b8ea1b1a38	ξηραίνει	ξηραίνει	ξηραινει	
