entity_id	mvo_type	preferred_label	preferred_label_norm	notes
ent_process_a73fb6f3e824	PROCESS	θερμαίνει	θερμαινει	
ent_process_ef4abee8ae98	PROCESS	Πειραθῆναι	πειραθηναι	
ent_process_f2b8ea1b1a38	PROCESS	ξηραίνει	ξηραινει	
